,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
87,lahaina,US,2021-01-13 15:22:25,20.8783,-156.6825,20,53,80.86999999999996,4.12
88,san lawrenz,MT,2021-01-13 15:27:17,36.0553,14.204,20,82,57.272000000000034,5.66
89,guadalupe y calvo,MX,2021-01-13 15:27:17,26.1,-106.9667,0,26,62.906000000000034,1.14
90,lebu,CL,2021-01-13 15:16:15,-37.6167,-73.65,0,63,60.38599999999997,6.16
91,sitka,US,2021-01-13 15:20:06,57.0531,-135.33,90,93,35.86999999999996,3.09
92,tierra blanca,HN,2021-01-13 15:27:18,14.5833,-88.5833,75,88,70.06999999999996,3.09
93,cedar city,US,2021-01-13 15:27:18,37.6775,-113.0619,1,25,52.069999999999965,1.54
94,hermanus,ZA,2021-01-13 15:16:17,-34.4187,19.2345,28,81,71.27599999999998,4.02
95,mildura,AU,2021-01-13 15:26:26,-34.2,142.15,0,76,55.66999999999996,3.09
96,penzance,GB,2021-01-13 15:27:18,50.1186,-5.5371,90,93,50.26999999999996,7.2
97,tsienyane,,,,,,,,
98,hobart,AU,2021-01-13 15:19:19,-42.8794,147.3294,75,59,61.069999999999965,4.12
99,thompson,CA,2021-01-13 15:16:14,55.7435,-97.8558,90,100,30.46999999999996,2.06
100,alofi,NU,2021-01-13 15:27:18,-19.0595,-169.9187,75,83,82.66999999999996,3.09
101,cabedelo,BR,2021-01-13 15:23:04,-6.9811,-34.8339,75,78,80.86999999999996,4.63
102,amapa,BR,2021-01-13 15:19:58,1,-52,96,82,81.46400000000003,1.75
103,nizhneyansk,,,,,,,,
104,salalah,OM,2021-01-13 15:16:25,17.0151,54.0924,0,25,75.46999999999997,4.63
105,nikolskoye,RU,2021-01-13 15:15:58,59.7035,30.7861,75,78,7.069999999999958,7
106,longlac,,,,,,,,
107,kavieng,PG,2021-01-13 15:27:19,-2.5744,150.7967,85,76,82.66999999999996,6.53
108,sola,VU,2021-01-13 15:22:36,-13.8833,167.55,100,77,82.74199999999999,4
109,namibe,AO,2021-01-13 15:20:49,-15.1961,12.1522,68,73,72.78800000000004,3.42
110,attawapiskat,,,,,,,,
111,malazgirt,TR,2021-01-13 15:27:19,39.1427,42.5401,100,83,36.31999999999996,1.67
112,borovoy,RU,2021-01-13 15:27:19,55.4333,86.0833,90,77,-12.72999999999999,2
113,priargunsk,RU,2021-01-13 15:27:19,50.3691,119.1012,10,85,-24.429999999999993,0.38
114,jaslo,PL,2021-01-13 15:27:20,49.7451,21.4725,100,97,32.26999999999996,4.68
115,galiwinku,,,,,,,,
116,carutapera,BR,2021-01-13 15:20:12,-1.195,-46.02,100,80,80.52799999999996,3.92
117,geraldton,AU,2021-01-13 15:20:38,-28.7667,114.6,0,64,70.06999999999996,4.63
118,ostrovnoy,RU,2021-01-13 15:20:18,68.0531,39.5131,56,93,3.59600000000005,9.36
119,srednekolymsk,RU,2021-01-13 15:27:20,67.45,153.6833,100,86,-24.016000000000012,3.04
120,havre-saint-pierre,CA,2021-01-13 15:20:15,50.2334,-63.5986,75,73,21.469999999999956,1.03
121,qaanaaq,GL,2021-01-13 15:20:15,77.484,-69.3632,0,83,-2.217999999999982,1.37
122,mataura,NZ,2021-01-13 15:16:18,-46.1927,168.8643,0,94,59.26999999999996,4.47
123,thinadhoo,MV,2021-01-13 15:16:27,0.5333,72.9333,100,73,82.38200000000002,8.57
124,kavaratti,IN,2021-01-13 15:16:19,10.5669,72.642,96,77,77.64800000000002,4.31
125,oktyabrskoye,RU,2021-01-13 15:27:20,43.0645,44.7417,88,100,30.46999999999996,2
126,carnarvon,AU,2021-01-13 15:20:04,-24.8667,113.6333,15,94,77.26999999999995,7.72
127,anshun,CN,2021-01-13 15:27:21,26.25,105.9333,3,70,37.561999999999955,1.74
128,kuito,AO,2021-01-13 15:27:21,-12.3833,16.9333,100,90,62.58200000000002,1.44
129,akhtanizovskaya,RU,2021-01-13 15:27:21,45.32,37.1,100,86,35.27599999999999,5
130,buala,SB,2021-01-13 15:27:21,-8.145,159.5921,84,78,80.618,3.37
131,luderitz,NA,2021-01-13 15:19:59,-26.6481,15.1594,15,79,67.74800000000002,2.7
132,loa janan,ID,2021-01-13 15:27:21,-0.583,117.095,100,97,74.04800000000003,1.16
133,ngunguru,NZ,2021-01-13 15:19:59,-35.6167,174.5,88,82,70.26799999999999,3.58
134,umm durman,,,,,,,,
135,bengkulu,ID,2021-01-13 15:20:20,-3.8004,102.2655,100,86,75.16400000000004,2.47
136,nanortalik,GL,2021-01-13 15:20:53,60.1432,-45.2371,100,94,29.911999999999956,6.63
137,nabire,ID,2021-01-13 15:22:26,-3.3667,135.4833,88,82,76.76600000000002,1.55
138,gat,IL,2021-01-13 15:21:00,31.61,34.7642,65,100,67.26199999999996,5.34
139,coronado,US,2021-01-13 15:27:22,32.6859,-117.1831,40,30,73.27400000000002,4.63
140,halalo,,,,,,,,
